Age,Income,Education,Marital_Status,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Actual_WineShare,Predicted_WineShare,Relative_WineShare,Actual_FruitShare,Predicted_FruitShare,Relative_FruitShare,Actual_MeatShare,Predicted_MeatShare,Relative_MeatShare,Actual_FishShare,Predicted_FishShare,Relative_FishShare,Actual_SweetShare,Predicted_SweetShare,Relative_SweetShare,Actual_GoldShare,Predicted_GoldShare,Relative_GoldShare,RecommendedBannerOrder,Top1Product,Top2Product,Top3Product
28,39146.0,Graduation,Single,1,0,1,3,4,0,4,0.5696969696969697,0.32621858789010555,0.7115814262235074,0.006060606060606061,0.0673290560996805,1.3658469569969645,0.2,0.28633954571874826,1.1560925851572097,0.07878787878787878,0.08877679487035113,1.2462841466274297,0.07272727272727272,0.06826481959876393,1.3289016092978478,0.07272727272727272,0.1630711958223508,1.3368430063018146,Fruit > Gold > Sweet > Fish > Meat > Wine,Fruit,Gold,Sweet
25,18358.0,Graduation,Single,1,0,49,3,3,0,4,0.10526315789473684,0.2701939945371718,0.5893748398376254,0.14035087719298245,0.07380873058146716,1.497294569453857,0.3333333333333333,0.2810591102503909,1.1347728883753851,0.2807017543859649,0.10062457898800616,1.4126080777860326,0.07017543859649122,0.0691964250761346,1.3470370416535644,0.07017543859649122,0.20511716056682938,1.681532046131403,Gold > Fruit > Fish > Sweet > Meat > Wine,Gold,Fruit,Fish
52,76081.0,Graduation,Together,0,0,85,1,4,5,4,0.28267182962245885,0.37345303890453474,0.8146140530186876,0.02904162633107454,0.05154635354220915,1.0456767732742678,0.40174249757986447,0.3358893277545266,1.3561492537669502,0.06098741529525654,0.08594610357115332,1.206545770226947,0.031945788964181994,0.060310020502675046,1.1740466579104865,0.1936108422071636,0.09285515572490109,0.761218220691346,Meat > Fish > Sweet > Fruit > Wine > Gold,Meat,Fish,Sweet
50,82224.0,Graduation,Married,0,0,83,1,6,9,5,0.34035476718403546,0.3545914350378593,0.773471189066272,0.028824833702882482,0.04901057453579636,0.9942355940841421,0.3991130820399113,0.36030083590842693,1.4547104339853103,0.15299334811529933,0.0825466078578714,1.1588222900069365,0.03436807095343681,0.06238699157007832,1.214478760568343,0.04434589800443459,0.09116355508996768,0.747350630729413,Meat > Sweet > Fish > Fruit > Wine > Gold,Meat,Sweet,Fish
31,21840.0,PhD,Together,1,0,80,1,1,0,3,0.6296296296296297,0.41351680572100075,0.9020052483381606,0.0,0.04318420321533431,0.8760409839205038,0.3333333333333333,0.26274578433989654,1.060833048031133,0.0,0.07370467483208594,1.0346956984615805,0.0,0.041877702640897956,0.815227327344958,0.037037037037037035,0.16497082925078457,1.3524160304066073,Gold > Meat > Fish > Wine > Fruit > Sweet,Gold,Meat,Fish
47,25930.0,Graduation,Single,1,1,87,1,1,0,2,0.4,0.3887600011926191,0.8480031683555911,0.06666666666666667,0.055546828440593415,1.1268309848885136,0.13333333333333333,0.2329315454072336,0.940458405137718,0.13333333333333333,0.07047284315825661,0.9893259530732273,0.0,0.0468281167324555,0.9115963398411205,0.26666666666666666,0.2054606650688418,1.6843480651642722,Gold > Fruit > Fish > Meat > Sweet > Wine,Gold,Fruit,Fish
36,27683.0,PhD,Together,1,0,90,4,6,2,4,0.43304843304843305,0.46540563385647854,1.0151904796535147,0.02564102564102564,0.030834349303283066,0.6255100636569075,0.34472934472934474,0.25073178041211236,1.0123266469187857,0.03418803418803419,0.05907404803391468,0.8293051089453456,0.03418803418803419,0.04500128727542973,0.8760337086113996,0.1282051282051282,0.1489529011187817,1.2211024952925282,Gold > Wine > Meat > Sweet > Fish > Fruit,Gold,Wine,Meat
58,50943.0,Master,Together,0,1,49,1,1,0,3,0.6739130434782609,0.5852431702482035,1.2765923991831944,0.0,0.0298412299668816,0.6053635013532482,0.15217391304347827,0.2026904520264912,0.8183603423753241,0.043478260869565216,0.040984619666386606,0.5753584798861795,0.0,0.023433665634810485,0.45617986185099646,0.13043478260869565,0.11780686245722646,0.9657700697913032,Wine > Gold > Meat > Fruit > Fish > Sweet,Wine,Gold,Meat
38,60000.0,PhD,Single,0,1,57,5,11,3,5,0.8206734534064213,0.7042612737446662,1.536206887677517,0.0,0.010432443513688132,0.21163405597306853,0.16992952231793265,0.16409019454422513,0.6625122517862602,0.0,0.0024299357150768526,0.034112409255669836,0.0,0.030966126868460224,0.6028132216724299,0.009397024275646046,0.08782002561388348,0.7199406766052249,Wine > Gold > Meat > Sweet > Fruit > Fish,Wine,Gold,Meat
45,14045.0,Graduation,Married,1,0,24,1,1,0,3,0.55,0.25659712236073684,0.5597159483622394,0.0,0.07762629064105933,1.574738144228283,0.25,0.26163191810608916,1.0563358260685525,0.1,0.11868839648863355,1.666195171254324,0.05,0.07019076900307088,1.3663937945530489,0.05,0.2152655034004102,1.76472724853493,Gold > Fish > Fruit > Sweet > Meat > Wine,Gold,Fish,Fruit
39,46098.0,Master,Single,1,1,86,4,3,2,2,0.475,0.5257909700696907,1.1469091654080452,0.0,0.020994396520270967,0.425895360225254,0.225,0.2616607746351889,1.0564523339691354,0.0,0.01847727198639756,0.2593913328725168,0.0,0.02345870306647036,0.4566672619997269,0.3,0.14961788372198154,1.2265539629040647,Gold > Wine > Meat > Sweet > Fruit > Fish,Gold,Wine,Meat
48,70287.0,Graduation,Divorced,0,0,30,1,5,5,10,0.2698993595608417,0.40389763975166615,0.8810229374164863,0.03202195791399817,0.06552884931075087,1.3293277020562069,0.4409881061299177,0.30174271301242483,1.2182826939368283,0.11070448307410796,0.0957115504536141,1.3436370185888287,0.10978956999085086,0.06633545903320719,1.2913430194479951,0.036596523330283626,0.06678378843833684,0.547487495004276,Fish > Fruit > Sweet > Meat > Wine > Gold,Fish,Fruit,Sweet
50,78825.0,PhD,Divorced,0,0,35,1,5,10,13,0.5396648044692738,0.5416013814142222,1.1813964554379808,0.08268156424581005,0.035613867784710276,0.7224680659212388,0.12737430167597766,0.327454467228794,1.322093602508032,0.1888268156424581,0.06179394584448922,0.8674881220482188,0.041340782122905026,0.03309273279997385,0.6442115592252325,0.02011173184357542,0.0004436049278104537,0.0036366333264059177,Meat > Wine > Fish > Fruit > Sweet > Gold,Meat,Wine,Fish
46,44377.0,PhD,Married,1,1,70,8,5,1,5,0.8484848484848485,0.6695662352861536,1.4605265130279133,0.0,0.012351400281440782,0.2505622901363888,0.11363636363636363,0.1934427388080183,0.7810228078245146,0.0,0.017765338498475152,0.2493969258797139,0.0,0.01956292370092882,0.3808286748802314,0.03787878787878788,0.08731136342498341,0.715770709699837,Wine > Meat > Gold > Sweet > Fruit > Fish,Wine,Meat,Gold
42,69209.0,Graduation,Married,0,0,4,2,5,3,6,0.2783389450056117,0.40532199533700175,0.8841298878371164,0.017957351290684626,0.062109249027872536,1.2599571967932124,0.4764309764309764,0.2860875730039719,1.1550752482522297,0.12850729517396184,0.09028907673019432,1.2675141641101204,0.026936026936026935,0.06682866460104768,1.300944182633809,0.0718294051627385,0.08936344129991178,0.7325934596750885,Sweet > Fish > Fruit > Meat > Wine > Gold,Sweet,Fish,Fruit
43,57420.0,Master,Together,0,1,22,3,5,1,6,0.8695652173913043,0.6390605930617925,1.393984478920441,0.0,0.023503468344111808,0.4767947536521596,0.055900621118012424,0.18941263005882686,0.7647512906276067,0.0,0.03065607351350222,0.4303622187928595,0.0,0.0260414954600295,0.5069461170301316,0.07453416149068323,0.09132573956173717,0.7486802044516294,Wine > Meat > Gold > Sweet > Fruit > Fish,Wine,Meat,Gold
38,37697.0,Graduation,Single,1,0,82,1,2,1,3,0.40476190476190477,0.2786550254687524,0.6078309078886697,0.07142857142857142,0.06826342970391534,1.3848017948927018,0.25,0.31540230785099915,1.2734331492100883,0.13095238095238096,0.0929072087221546,1.3042685479569731,0.047619047619047616,0.06616298014571868,1.2879853972862347,0.09523809523809523,0.1786090481084598,1.4642209227810932,Gold > Fruit > Fish > Sweet > Meat > Wine,Gold,Fruit,Fish
42,38887.0,PhD,Together,1,0,17,1,1,0,3,0.5952380952380952,0.46355325562127647,1.011149882350229,0.023809523809523808,0.039672832969686364,0.8048088199375797,0.30952380952380953,0.2657431260248124,1.0729347802191052,0.0,0.06759595026786305,0.9489389802603568,0.0,0.03889190439422515,0.7571032142459463,0.07142857142857142,0.12454293072213651,1.0209917519805152,Meat > Gold > Wine > Fish > Fruit > Sweet,Meat,Gold,Wine
59,75261.0,PhD,Together,0,0,17,1,5,6,5,0.7108433734939759,0.5417878240278845,1.1818031431800764,0.009753298909925417,0.026956947472994288,0.5468525300786294,0.23694779116465864,0.2925221902702248,1.1810549406176927,0.013195639701663799,0.05408687736961012,0.7592932128803308,0.019506597819850834,0.035610832991576746,0.6932310602898027,0.009753298909925417,0.04903532786770957,0.40198721050084596,Wine > Meat > Fish > Sweet > Fruit > Gold,Wine,Meat,Fish
53,28249.0,Basic,Married,0,0,80,1,2,0,3,0.023255813953488372,0.08547558343232564,0.1864481051170214,0.20930232558139536,0.13635531531110862,2.7661236214615976,0.16279069767441862,0.12043818371088605,0.4862677658038923,0.046511627906976744,0.21577326153712995,3.029111329289822,0.32558139534883723,0.15152706144909167,2.9497559210647633,0.23255813953488372,0.290430594559458,2.380923909921275,Fish > Sweet > Fruit > Gold > Meat > Wine,Fish,Sweet,Fruit
